"Type","TG2ID","TherapeuticGrp2","DHB","YearDisp","NumDisps","NumPpl","NHIComp"
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Northland",2018,"102227","27333",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Waitemata",2018,"250540","67489",99.9
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Auckland",2018,"182164","50346",99.8
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Counties Manukau",2018,"257576","70693",99.9
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Waikato",2018,"203954","53218",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Lakes",2018,"52479","14288",99.9
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Bay of Plenty",2018,"121096","32294",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Tairawhiti",2018,"25863","6982",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Hawke's Bay",2018,"86058","22739",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Taranaki",2018,"60997","16097",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","MidCentral",2018,"98773","25457",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Whanganui",2018,"36827","9754",99.9
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Capital & Coast",2018,"119867","31897",99.9
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Hutt Valley",2018,"71361","18880",99.9
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Wairarapa",2018,"26970","7007",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Nelson Marlborough",2018,"79133","20827",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","West Coast",2018,"18525","4852",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Canterbury",2018,"229267","60220",99.9
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","South Canterbury",2018,"35371","9314",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Southern",2018,"173020","44626",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","New Zealand",2018,"2232068","582155",99.9
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Northland",2019,"105657","27942",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Waitemata",2019,"263055","69978",99.9
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Auckland",2019,"189710","51917",99.9
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Counties Manukau",2019,"270318","73546",99.9
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Waikato",2019,"211293","54550",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Lakes",2019,"53526","14490",99.9
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Bay of Plenty",2019,"124434","32971",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Tairawhiti",2019,"25883","6963",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Hawke's Bay",2019,"88215","23202",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Taranaki",2019,"63355","16523",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","MidCentral",2019,"102918","26034",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Whanganui",2019,"37975","9962",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Capital & Coast",2019,"123376","32610",99.9
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Hutt Valley",2019,"73070","19235",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Wairarapa",2019,"28069","7308",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Nelson Marlborough",2019,"81327","21270",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","West Coast",2019,"19360","5063",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Canterbury",2019,"238064","62421",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","South Canterbury",2019,"37031","9608",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Southern",2019,"178464","45818",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","New Zealand",2019,"2315100","599698",99.9
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Northland",2020,"111317","29035",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Waitemata",2020,"275519","72715",99.9
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Auckland",2020,"198152","53359",99.9
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Counties Manukau",2020,"284163","76278",99.9
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Waikato",2020,"217984","56030",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Lakes",2020,"55579","14729",99.9
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Bay of Plenty",2020,"128474","33579",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Tairawhiti",2020,"26746","7165",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Hawke's Bay",2020,"90783","23729",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Taranaki",2020,"65735","16975",99.9
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","MidCentral",2020,"105293","26626",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Whanganui",2020,"38980","10121",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Capital & Coast",2020,"127863","33234",99.9
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Hutt Valley",2020,"75032","19496",99.9
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Wairarapa",2020,"29594","7586",99.9
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Nelson Marlborough",2020,"84255","21782",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","West Coast",2020,"20666","5286",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Canterbury",2020,"250211","65006",99.9
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","South Canterbury",2020,"37974","9810",99.9
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Southern",2020,"185667","47001",99.9
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","New Zealand",2020,"2409987","617582",99.9
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Northland",2021,"117138","30400",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Waitemata",2021,"290482","74975",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Auckland",2021,"208992","55259",99.9
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Counties Manukau",2021,"299141","78674",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Waikato",2021,"228245","58313",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Lakes",2021,"58326","15462",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Bay of Plenty",2021,"135077","34945",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Tairawhiti",2021,"27882","7337",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Hawke's Bay",2021,"95657","24708",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Taranaki",2021,"69231","17726",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","MidCentral",2021,"109501","27646",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Whanganui",2021,"40254","10466",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Capital & Coast",2021,"133223","34309",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Hutt Valley",2021,"77300","19877",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Wairarapa",2021,"31209","7978",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Nelson Marlborough",2021,"87485","22566",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","West Coast",2021,"21772","5512",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Canterbury",2021,"266814","69135",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","South Canterbury",2021,"39892","10335",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Southern",2021,"191917","48409",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","New Zealand",2021,"2529538","640573",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Northland",2022,"120540","31464",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Waitemata",2022,"304523","78233",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Auckland",2022,"218777","57505",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Counties Manukau",2022,"314697","82688",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Waikato",2022,"237316","60772",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Lakes",2022,"60042","15908",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Bay of Plenty",2022,"140567","35942",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Tairawhiti",2022,"28583","7507",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Hawke's Bay",2022,"99335","25632",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Taranaki",2022,"70807","18188",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","MidCentral",2022,"113167","28252",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Whanganui",2022,"41492","10722",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Capital & Coast",2022,"138063","35156",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Hutt Valley",2022,"78823","20086",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Wairarapa",2022,"32416","8250",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Nelson Marlborough",2022,"90865","23171",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","West Coast",2022,"22431","5684",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Canterbury",2022,"282002","72494",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","South Canterbury",2022,"41458","10699",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Southern",2022,"197612","49744",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","New Zealand",2022,"2633516","665293",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Northland",2018,"143038","27412",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Waitemata",2018,"344003","67662",99.9
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Auckland",2018,"257636","50557",99.9
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Counties Manukau",2018,"391980","70902",99.9
