,Type,TG2ID,TherapeuticGrp2.x,DHB,YearDisp,NumDisps,NumPpl,NHIComp,TherapeuticGrp2.y,TG1ID,TherapeuticGrp1,,DHB_names
1383,Initial dispensings,1601,Anthelmintics,Northland,2018,677,619,99.9,Anthelmintics,16,Infections - Agents for Systemic Use,,Northland
1384,Initial dispensings,1601,Anthelmintics,Waitemata,2018,2560,2376,99.8,Anthelmintics,16,Infections - Agents for Systemic Use,,Waitemata
1385,Initial dispensings,1601,Anthelmintics,Auckland,2018,2101,1952,99.1,Anthelmintics,16,Infections - Agents for Systemic Use,,Auckland
1386,Initial dispensings,1601,Anthelmintics,Counties Manukau,2018,1753,1635,99.9,Anthelmintics,16,Infections - Agents for Systemic Use,,Counties Manukau
1387,Initial dispensings,1601,Anthelmintics,Waikato,2018,1720,1564,99.5,Anthelmintics,16,Infections - Agents for Systemic Use,,Waikato
1388,Initial dispensings,1601,Anthelmintics,Lakes,2018,318,294,99.1,Anthelmintics,16,Infections - Agents for Systemic Use,,Lakes
1389,Initial dispensings,1601,Anthelmintics,Bay of Plenty,2018,992,908,99.8,Anthelmintics,16,Infections - Agents for Systemic Use,,Bay of Plenty
1390,Initial dispensings,1601,Anthelmintics,Tairawhiti,2018,157,141,97.5,Anthelmintics,16,Infections - Agents for Systemic Use,,Tairawhiti
1391,Initial dispensings,1601,Anthelmintics,Hawke's Bay,2018,458,431,99.1,Anthelmintics,16,Infections - Agents for Systemic Use,,Hawke's Bay
1392,Initial dispensings,1601,Anthelmintics,Taranaki,2018,279,266,99.6,Anthelmintics,16,Infections - Agents for Systemic Use,,Taranaki
1393,Initial dispensings,1601,Anthelmintics,MidCentral,2018,417,392,99.5,Anthelmintics,16,Infections - Agents for Systemic Use,,MidCentral
1394,Initial dispensings,1601,Anthelmintics,Whanganui,2018,219,202,99.1,Anthelmintics,16,Infections - Agents for Systemic Use,,Whanganui
1395,Initial dispensings,1601,Anthelmintics,Capital & Coast,2018,969,884,98.8,Anthelmintics,16,Infections - Agents for Systemic Use,,Capital and Coast
1396,Initial dispensings,1601,Anthelmintics,Hutt Valley,2018,418,386,99.5,Anthelmintics,16,Infections - Agents for Systemic Use,,Hutt Valley
