,Type,TG3ID,TherapeuticGrp3,DHB,YearDisp,NumDisps,NumPpl,NHIComp,TherapeuticGrp3.y,TG2ID,TherapeuticGrp2,TG1ID,TherapeuticGrp1
4263,Initial dispensings,160101,Anthelmintics,Northland,2018,677,619,99.9,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4264,Initial dispensings,160101,Anthelmintics,Waitemata,2018,2560,2376,99.8,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4265,Initial dispensings,160101,Anthelmintics,Auckland,2018,2101,1952,99.1,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4266,Initial dispensings,160101,Anthelmintics,Counties Manukau,2018,1753,1635,99.9,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4267,Initial dispensings,160101,Anthelmintics,Waikato,2018,1720,1564,99.5,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4268,Initial dispensings,160101,Anthelmintics,Lakes,2018,318,294,99.1,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4269,Initial dispensings,160101,Anthelmintics,Bay of Plenty,2018,992,908,99.8,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4270,Initial dispensings,160101,Anthelmintics,Tairawhiti,2018,157,141,97.5,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4271,Initial dispensings,160101,Anthelmintics,Hawke's Bay,2018,458,431,99.1,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4272,Initial dispensings,160101,Anthelmintics,Taranaki,2018,279,266,99.6,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4273,Initial dispensings,160101,Anthelmintics,MidCentral,2018,417,392,99.5,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4274,Initial dispensings,160101,Anthelmintics,Whanganui,2018,219,202,99.1,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4275,Initial dispensings,160101,Anthelmintics,Capital & Coast,2018,969,884,98.8,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4276,Initial dispensings,160101,Anthelmintics,Hutt Valley,2018,418,386,99.5,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4277,Initial dispensings,160101,Anthelmintics,Wairarapa,2018,113,105,99.1,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4278,Initial dispensings,160101,Anthelmintics,Nelson Marlborough,2018,427,378,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4279,Initial dispensings,160101,Anthelmintics,West Coast,2018,30,29,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4280,Initial dispensings,160101,Anthelmintics,Canterbury,2018,1500,1392,99.6,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4281,Initial dispensings,160101,Anthelmintics,South Canterbury,2018,120,112,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
