"","Type","TG3ID","TherapeuticGrp3","DHB","YearDisp","NumDisps","NumPpl","NHIComp"
"12871","Initial dispensings",160301,"Cephalosporins and Cephamycins","Northland",2018,"24331","16936",99.9
"12872","Initial dispensings",160301,"Cephalosporins and Cephamycins","Waitemata",2018,"45316","32700",99.5
"12873","Initial dispensings",160301,"Cephalosporins and Cephamycins","Auckland",2018,"31507","23150",99.2
"12874","Initial dispensings",160301,"Cephalosporins and Cephamycins","Counties Manukau",2018,"50045","36197",99.6
"12875","Initial dispensings",160301,"Cephalosporins and Cephamycins","Waikato",2018,"21767","15921",99.7
"12876","Initial dispensings",160301,"Cephalosporins and Cephamycins","Lakes",2018,"9580","6847",99.3
"12877","Initial dispensings",160301,"Cephalosporins and Cephamycins","Bay of Plenty",2018,"17973","12874",99.7
"12878","Initial dispensings",160301,"Cephalosporins and Cephamycins","Tairawhiti",2018,"2609","1956",99.7
"12879","Initial dispensings",160301,"Cephalosporins and Cephamycins","Hawke's Bay",2018,"14014","9798",99.9
"12880","Initial dispensings",160301,"Cephalosporins and Cephamycins","Taranaki",2018,"8626","6411",99.6
"12881","Initial dispensings",160301,"Cephalosporins and Cephamycins","MidCentral",2018,"14744","10613",99.7
"12882","Initial dispensings",160301,"Cephalosporins and Cephamycins","Whanganui",2018,"5947","4239",99.6
"12883","Initial dispensings",160301,"Cephalosporins and Cephamycins","Capital & Coast",2018,"12483","9157",99.1
"12884","Initial dispensings",160301,"Cephalosporins and Cephamycins","Hutt Valley",2018,"6423","4618",98.8
"12885","Initial dispensings",160301,"Cephalosporins and Cephamycins","Wairarapa",2018,"2268","1745",99.5
"12886","Initial dispensings",160301,"Cephalosporins and Cephamycins","Nelson Marlborough",2018,"5353","3843",99.3
"12887","Initial dispensings",160301,"Cephalosporins and Cephamycins","West Coast",2018,"762","597",99.6
"12888","Initial dispensings",160301,"Cephalosporins and Cephamycins","Canterbury",2018,"19640","13833",99.5
"12889","Initial dispensings",160301,"Cephalosporins and Cephamycins","South Canterbury",2018,"3316","2342",99.7
"12890","Initial dispensings",160301,"Cephalosporins and Cephamycins","Southern",2018,"17449","12501",99.6
"12891","Initial dispensings",160301,"Cephalosporins and Cephamycins","New Zealand",2018,"314153","225267",99.6
"12892","Initial dispensings",160301,"Cephalosporins and Cephamycins","Northland",2019,"21940","15519",99.9
"12893","Initial dispensings",160301,"Cephalosporins and Cephamycins","Waitemata",2019,"45909","33189",99.6
"12894","Initial dispensings",160301,"Cephalosporins and Cephamycins","Auckland",2019,"31976","23622",99.5
"12895","Initial dispensings",160301,"Cephalosporins and Cephamycins","Counties Manukau",2019,"52093","37968",99.7
"12896","Initial dispensings",160301,"Cephalosporins and Cephamycins","Waikato",2019,"21580","15963",99.8
"12897","Initial dispensings",160301,"Cephalosporins and Cephamycins","Lakes",2019,"9490","6871",99.5
"12898","Initial dispensings",160301,"Cephalosporins and Cephamycins","Bay of Plenty",2019,"17430","12563",99.7
"12899","Initial dispensings",160301,"Cephalosporins and Cephamycins","Tairawhiti",2019,"2735","2045",99.9
"12900","Initial dispensings",160301,"Cephalosporins and Cephamycins","Hawke's Bay",2019,"14792","10278",99.9
"12901","Initial dispensings",160301,"Cephalosporins and Cephamycins","Taranaki",2019,"8941","6519",99.5
"12902","Initial dispensings",160301,"Cephalosporins and Cephamycins","MidCentral",2019,"13121","9617",99.9
"12903","Initial dispensings",160301,"Cephalosporins and Cephamycins","Whanganui",2019,"5323","3831",99.8
"12904","Initial dispensings",160301,"Cephalosporins and Cephamycins","Capital & Coast",2019,"12353","9137",99.2
"12905","Initial dispensings",160301,"Cephalosporins and Cephamycins","Hutt Valley",2019,"6973","5007",99.3
"12906","Initial dispensings",160301,"Cephalosporins and Cephamycins","Wairarapa",2019,"2201","1714",99.9
"12907","Initial dispensings",160301,"Cephalosporins and Cephamycins","Nelson Marlborough",2019,"6147","4424",99.6
"12908","Initial dispensings",160301,"Cephalosporins and Cephamycins","West Coast",2019,"796","645",99.9
"12909","Initial dispensings",160301,"Cephalosporins and Cephamycins","Canterbury",2019,"23163","16130",99.6
"12910","Initial dispensings",160301,"Cephalosporins and Cephamycins","South Canterbury",2019,"3499","2459",99.9
"12911","Initial dispensings",160301,"Cephalosporins and Cephamycins","Southern",2019,"19527","13794",99.7
"12912","Initial dispensings",160301,"Cephalosporins and Cephamycins","New Zealand",2019,"319989","230387",99.6
"12913","Initial dispensings",160301,"Cephalosporins and Cephamycins","Northland",2020,"19328","13555",99.9
"12914","Initial dispensings",160301,"Cephalosporins and Cephamycins","Waitemata",2020,"36995","26835",99.7
"12915","Initial dispensings",160301,"Cephalosporins and Cephamycins","Auckland",2020,"26242","18988",99.6
